"eco_values","species","latitude","longitude","date_obs","source","coord_id","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","occurrence_id.longitude.x","occurrence_id.latitude.x","tmax_mean_c","occurrence_id.longitude.y","occurrence_id.latitude.y","prec_mean_annual","occurrence_id.longitude.x.x","occurrence_id.latitude.x.x","tas_current_july_c","occurrence_id.longitude.y.y","occurrence_id.latitude.y.y","tas_future_july_2050_c","delta_tas_july_c","NDVI"
6,"Impatiens noli-tangere",47.00814,8.98387,2024-08-04,"gbif","8.98387_47.00814","Polar","Moist","Snow and Ice","Mountains","Polar Moist",255,255,255,"Polar Moist Snow and Ice on Mountains","#FFFFFF",2460,8.98387,47.00814,0.916666666666686,8.98387,47.00814,231.166666666667,8.98387,47.00814,18.95,8.98387,47.00814,7.15000000000003,-11.8,-0.0459
6,"Impatiens noli-tangere",47.00814,8.98387,2024-08-04,"gbif","8.98387_47.00814","Polar","Moist","Snow and Ice","Mountains","Polar Moist",255,255,255,"Polar Moist Snow and Ice on Mountains","#FFFFFF",2460,8.98387,47.00814,0.916666666666686,8.98387,47.00814,231.166666666667,8.98387,47.00814,19.7500000000001,8.98387,47.00814,7.15000000000003,-12.6,-0.0459
18,"Impatiens noli-tangere",46.78653,8.71555,2023-07-31,"gbif","8.71555_46.78653","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",2209,8.71555,46.78653,2.26666666666671,8.71555,46.78653,194.666666666667,8.71555,46.78653,6.25000000000006,8.71555,46.78653,9.45000000000005,3.19999999999999,-0.021
18,"Impatiens noli-tangere",46.78653,8.71555,2023-07-31,"gbif","8.71555_46.78653","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",2209,8.71555,46.78653,2.26666666666671,8.71555,46.78653,194.666666666667,8.71555,46.78653,19.55,8.71555,46.78653,9.45000000000005,-10.1,-0.021
18,"Impatiens noli-tangere",46.78653,8.71555,2023-07-31,"gbif","8.71555_46.78653","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",2209,8.71555,46.78653,2.26666666666671,8.71555,46.78653,194.666666666667,8.71555,46.78653,19.7500000000001,8.71555,46.78653,9.45000000000005,-10.3,-0.021
96,"Impatiens noli-tangere",46.61337,7.14492,2023-07-17,"gbif","7.14492_46.61337","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",829,7.14492,46.61337,11.8916666666667,7.14492,46.61337,117.916666666667,7.14492,46.61337,6.25000000000006,7.14492,46.61337,18.35,12.1,0.086
96,"Impatiens noli-tangere",46.61337,7.14492,2023-07-17,"gbif","7.14492_46.61337","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",829,7.14492,46.61337,11.8916666666667,7.14492,46.61337,117.916666666667,7.14492,46.61337,19.55,7.14492,46.61337,18.35,-1.19999999999999,0.086
96,"Impatiens noli-tangere",46.61337,7.14492,2023-07-17,"gbif","7.14492_46.61337","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",829,7.14492,46.61337,11.8916666666667,7.14492,46.61337,117.916666666667,7.14492,46.61337,19.15,7.14492,46.61337,18.35,-0.800000000000011,0.086
96,"Impatiens noli-tangere",46.6050376464,10.4218598362,2022-08-16,"inat","10.4218598362_46.6050376464","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1364,10.4218598362,46.6050376464,8.67500000000001,10.4218598362,46.6050376464,55.5833333333333,10.4218598362,46.6050376464,6.75000000000006,10.4218598362,46.6050376464,16.2500000000001,9.5,0.2694
96,"Impatiens noli-tangere",46.6050376464,10.4218598362,2022-08-16,"inat","10.4218598362_46.6050376464","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1364,10.4218598362,46.6050376464,8.67500000000001,10.4218598362,46.6050376464,55.5833333333333,10.4218598362,46.6050376464,19.55,10.4218598362,46.6050376464,16.2500000000001,-3.29999999999995,0.2694
96,"Impatiens noli-tangere",46.6050376464,10.4218598362,2022-08-16,"inat","10.4218598362_46.6050376464","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1364,10.4218598362,46.6050376464,8.67500000000001,10.4218598362,46.6050376464,55.5833333333333,10.4218598362,46.6050376464,19.15,10.4218598362,46.6050376464,16.2500000000001,-2.89999999999998,0.2694
96,"Impatiens noli-tangere",46.61337,7.14492,2025-06-25,"gbif","7.14492_46.61337","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",829,7.14492,46.61337,11.8916666666667,7.14492,46.61337,117.916666666667,7.14492,46.61337,6.25000000000006,7.14492,46.61337,18.35,12.1,0.086
96,"Impatiens noli-tangere",46.61337,7.14492,2025-06-25,"gbif","7.14492_46.61337","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",829,7.14492,46.61337,11.8916666666667,7.14492,46.61337,117.916666666667,7.14492,46.61337,19.55,7.14492,46.61337,18.35,-1.19999999999999,0.086
96,"Impatiens noli-tangere",46.61337,7.14492,2025-06-25,"gbif","7.14492_46.61337","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",829,7.14492,46.61337,11.8916666666667,7.14492,46.61337,117.916666666667,7.14492,46.61337,19.15,7.14492,46.61337,18.35,-0.800000000000011,0.086
97,"Impatiens glandulifera",47.43915,9.15811,2025-04-23,"gbif","9.15811_47.43915","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",536,9.15811,47.43915,12.7333333333333,9.15811,47.43915,113.666666666667,9.15811,47.43915,6.75000000000006,9.15811,47.43915,19.95,13.2,0.2845
97,"Impatiens glandulifera",47.43915,9.15811,2025-04-23,"gbif","9.15811_47.43915","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",536,9.15811,47.43915,12.7333333333333,9.15811,47.43915,113.666666666667,9.15811,47.43915,16.55,9.15811,47.43915,19.95,3.40000000000003,0.2845
97,"Impatiens glandulifera",47.43915,9.15811,2025-04-23,"gbif","9.15811_47.43915","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",536,9.15811,47.43915,12.7333333333333,9.15811,47.43915,113.666666666667,9.15811,47.43915,19.15,9.15811,47.43915,19.95,0.800000000000011,0.2845
97,"Impatiens noli-tangere",46.79329,7.73333,2025-06-22,"gbif","7.73333_46.79329","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",975,7.73333,46.79329,10.7166666666667,7.73333,46.79329,131.5,7.73333,46.79329,6.75000000000006,7.73333,46.79329,17.35,10.6,0.0075
97,"Impatiens noli-tangere",46.79329,7.73333,2025-06-22,"gbif","7.73333_46.79329","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",975,7.73333,46.79329,10.7166666666667,7.73333,46.79329,131.5,7.73333,46.79329,16.55,7.73333,46.79329,17.35,0.800000000000011,0.0075
97,"Impatiens noli-tangere",46.79329,7.73333,2025-06-22,"gbif","7.73333_46.79329","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",975,7.73333,46.79329,10.7166666666667,7.73333,46.79329,131.5,7.73333,46.79329,19.05,7.73333,46.79329,17.35,-1.69999999999999,0.0075
97,"Impatiens glandulifera",47.43554,9.1619,2025-04-23,"gbif","9.1619_47.43554","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",537,9.1619,47.43554,12.7,9.1619,47.43554,114.416666666667,9.1619,47.43554,6.05000000000001,9.1619,47.43554,19.95,13.9,0.3458
97,"Impatiens glandulifera",47.43554,9.1619,2025-04-23,"gbif","9.1619_47.43554","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",537,9.1619,47.43554,12.7,9.1619,47.43554,114.416666666667,9.1619,47.43554,16.55,9.1619,47.43554,19.95,3.40000000000003,0.3458
97,"Impatiens glandulifera",47.43554,9.1619,2025-04-23,"gbif","9.1619_47.43554","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",537,9.1619,47.43554,12.7,9.1619,47.43554,114.416666666667,9.1619,47.43554,19.05,9.1619,47.43554,19.95,0.900000000000034,0.3458
97,"Impatiens glandulifera",47.43814,9.15436,2025-04-23,"gbif","9.15436_47.43814","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",542,9.15436,47.43814,12.7333333333333,9.15436,47.43814,113.666666666667,9.15436,47.43814,6.05000000000001,9.15436,47.43814,19.95,13.9,0.3725
97,"Impatiens glandulifera",47.43814,9.15436,2025-04-23,"gbif","9.15436_47.43814","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",542,9.15436,47.43814,12.7333333333333,9.15436,47.43814,113.666666666667,9.15436,47.43814,19.55,9.15436,47.43814,19.95,0.400000000000034,0.3725
97,"Impatiens glandulifera",47.43814,9.15436,2025-04-23,"gbif","9.15436_47.43814","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",542,9.15436,47.43814,12.7333333333333,9.15436,47.43814,113.666666666667,9.15436,47.43814,19.05,9.15436,47.43814,19.95,0.900000000000034,0.3725
97,"Impatiens noli-tangere",46.06291,9.02174,2025-07-26,"gbif","9.02174_46.06291","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",910,9.02174,46.06291,12.5416666666667,9.02174,46.06291,112.583333333333,9.02174,46.06291,6.05000000000001,9.02174,46.06291,19.7500000000001,13.7,0.6296
97,"Impatiens noli-tangere",46.06291,9.02174,2025-07-26,"gbif","9.02174_46.06291","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",910,9.02174,46.06291,12.5416666666667,9.02174,46.06291,112.583333333333,9.02174,46.06291,19.55,9.02174,46.06291,19.7500000000001,0.200000000000045,0.6296
97,"Impatiens noli-tangere",46.06291,9.02174,2025-07-26,"gbif","9.02174_46.06291","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",910,9.02174,46.06291,12.5416666666667,9.02174,46.06291,112.583333333333,9.02174,46.06291,18.95,9.02174,46.06291,19.7500000000001,0.800000000000011,0.6296
97,"Impatiens glandulifera",47.43621,9.16165,2025-04-23,"gbif","9.16165_47.43621","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",540,9.16165,47.43621,12.7,9.16165,47.43621,114.416666666667,9.16165,47.43621,8.35000000000002,9.16165,47.43621,19.95,11.6,0.3458
97,"Impatiens glandulifera",47.43621,9.16165,2025-04-23,"gbif","9.16165_47.43621","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",540,9.16165,47.43621,12.7,9.16165,47.43621,114.416666666667,9.16165,47.43621,19.55,9.16165,47.43621,19.95,0.400000000000034,0.3458
97,"Impatiens glandulifera",47.43621,9.16165,2025-04-23,"gbif","9.16165_47.43621","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",540,9.16165,47.43621,12.7,9.16165,47.43621,114.416666666667,9.16165,47.43621,18.95,9.16165,47.43621,19.95,1,0.3458
97,"Impatiens glandulifera",47.28679,7.9606,2025-04-25,"gbif","7.9606_47.28679","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",506,7.9606,47.28679,13.2166666666667,7.9606,47.28679,110.833333333333,7.9606,47.28679,8.35000000000002,7.9606,47.28679,19.95,11.6,0.1489
97,"Impatiens glandulifera",47.28679,7.9606,2025-04-25,"gbif","7.9606_47.28679","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",506,7.9606,47.28679,13.2166666666667,7.9606,47.28679,110.833333333333,7.9606,47.28679,13.7500000000001,7.9606,47.28679,19.95,6.19999999999999,0.1489
97,"Impatiens glandulifera",47.28679,7.9606,2025-04-25,"gbif","7.9606_47.28679","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",506,7.9606,47.28679,13.2166666666667,7.9606,47.28679,110.833333333333,7.9606,47.28679,18.95,7.9606,47.28679,19.95,1,0.1489
97,"Impatiens glandulifera",47.42947,9.17804,2025-04-23,"gbif","9.17804_47.42947","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",568,9.17804,47.42947,12.5166666666667,9.17804,47.42947,118.333333333333,9.17804,47.42947,8.35000000000002,9.17804,47.42947,19.65,11.3,0.469
97,"Impatiens glandulifera",47.42947,9.17804,2025-04-23,"gbif","9.17804_47.42947","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",568,9.17804,47.42947,12.5166666666667,9.17804,47.42947,118.333333333333,9.17804,47.42947,13.7500000000001,9.17804,47.42947,19.65,5.89999999999998,0.469
97,"Impatiens glandulifera",47.42947,9.17804,2025-04-23,"gbif","9.17804_47.42947","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",568,9.17804,47.42947,12.5166666666667,9.17804,47.42947,118.333333333333,9.17804,47.42947,18.95,9.17804,47.42947,19.65,0.699999999999989,0.469
97,"Impatiens glandulifera",47.4282,9.18095,2025-04-23,"gbif","9.18095_47.4282","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",579,9.18095,47.4282,12.5166666666667,9.18095,47.4282,118.333333333333,9.18095,47.4282,17.35,9.18095,47.4282,19.65,2.30000000000001,0.3439
97,"Impatiens glandulifera",47.4282,9.18095,2025-04-23,"gbif","9.18095_47.4282","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",579,9.18095,47.4282,12.5166666666667,9.18095,47.4282,118.333333333333,9.18095,47.4282,13.7500000000001,9.18095,47.4282,19.65,5.89999999999998,0.3439
97,"Impatiens glandulifera",47.4282,9.18095,2025-04-23,"gbif","9.18095_47.4282","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",579,9.18095,47.4282,12.5166666666667,9.18095,47.4282,118.333333333333,9.18095,47.4282,18.95,9.18095,47.4282,19.65,0.699999999999989,0.3439
97,"Impatiens glandulifera",47.37693,8.19179,2025-01-08,"gbif","8.19179_47.37693","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",472,8.19179,47.37693,13.4333333333334,8.19179,47.37693,107.083333333333,8.19179,47.37693,17.35,8.19179,47.37693,20.2500000000001,2.90000000000003,0.485
97,"Impatiens glandulifera",47.37693,8.19179,2025-01-08,"gbif","8.19179_47.37693","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",472,8.19179,47.37693,13.4333333333334,8.19179,47.37693,107.083333333333,8.19179,47.37693,18.35,8.19179,47.37693,20.2500000000001,1.90000000000003,0.485
97,"Impatiens glandulifera",47.37693,8.19179,2025-01-08,"gbif","8.19179_47.37693","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",472,8.19179,47.37693,13.4333333333334,8.19179,47.37693,107.083333333333,8.19179,47.37693,18.95,8.19179,47.37693,20.2500000000001,1.30000000000001,0.485
97,"Impatiens glandulifera",47.42625,9.18317,2025-04-23,"gbif","9.18317_47.42625","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",579,9.18317,47.42625,12.5166666666667,9.18317,47.42625,118.333333333333,9.18317,47.42625,17.35,9.18317,47.42625,19.65,2.30000000000001,0.2981
97,"Impatiens glandulifera",47.42625,9.18317,2025-04-23,"gbif","9.18317_47.42625","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",579,9.18317,47.42625,12.5166666666667,9.18317,47.42625,118.333333333333,9.18317,47.42625,18.35,9.18317,47.42625,19.65,1.30000000000001,0.2981
97,"Impatiens glandulifera",47.42625,9.18317,2025-04-23,"gbif","9.18317_47.42625","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",579,9.18317,47.42625,12.5166666666667,9.18317,47.42625,118.333333333333,9.18317,47.42625,18.95,9.18317,47.42625,19.65,0.699999999999989,0.2981
97,"Impatiens noli-tangere",46.74831,7.73309,2025-06-30,"gbif","7.73309_46.74831","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1119,7.73309,46.74831,9.53333333333336,7.73309,46.74831,145.333333333333,7.73309,46.74831,15.05,7.73309,46.74831,16.15,1.10000000000002,0.6799
97,"Impatiens noli-tangere",46.74831,7.73309,2025-06-30,"gbif","7.73309_46.74831","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1119,7.73309,46.74831,9.53333333333336,7.73309,46.74831,145.333333333333,7.73309,46.74831,18.35,7.73309,46.74831,16.15,-2.19999999999999,0.6799
97,"Impatiens noli-tangere",46.74831,7.73309,2025-06-30,"gbif","7.73309_46.74831","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1119,7.73309,46.74831,9.53333333333336,7.73309,46.74831,145.333333333333,7.73309,46.74831,18.95,7.73309,46.74831,16.15,-2.80000000000001,0.6799
97,"Impatiens glandulifera",47.27324,7.96915,2025-04-28,"gbif","7.96915_47.27324","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",528,7.96915,47.27324,13.1083333333333,7.96915,47.27324,111.416666666667,7.96915,47.27324,15.05,7.96915,47.27324,19.85,4.80000000000001,-0.0311
97,"Impatiens glandulifera",47.27324,7.96915,2025-04-28,"gbif","7.96915_47.27324","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",528,7.96915,47.27324,13.1083333333333,7.96915,47.27324,111.416666666667,7.96915,47.27324,18.85,7.96915,47.27324,19.85,1,-0.0311
97,"Impatiens glandulifera",47.27324,7.96915,2025-04-28,"gbif","7.96915_47.27324","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",528,7.96915,47.27324,13.1083333333333,7.96915,47.27324,111.416666666667,7.96915,47.27324,18.95,7.96915,47.27324,19.85,0.899999999999977,-0.0311
97,"Impatiens glandulifera",47.41881,8.1255,2025-05-21,"gbif","8.1255_47.41881","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",441,8.1255,47.41881,13.5,8.1255,47.41881,100.083333333333,8.1255,47.41881,15.05,8.1255,47.41881,20.35,5.30000000000001,0.5113
97,"Impatiens glandulifera",47.41881,8.1255,2025-05-21,"gbif","8.1255_47.41881","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",441,8.1255,47.41881,13.5,8.1255,47.41881,100.083333333333,8.1255,47.41881,18.85,8.1255,47.41881,20.35,1.5,0.5113
97,"Impatiens glandulifera",47.41881,8.1255,2025-05-21,"gbif","8.1255_47.41881","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",441,8.1255,47.41881,13.5,8.1255,47.41881,100.083333333333,8.1255,47.41881,19.45,8.1255,47.41881,20.35,0.899999999999977,0.5113
97,"Impatiens noli-tangere",47.37583,8.19999,2023-06-29,"gbif","8.19999_47.37583","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",541,8.19999,47.37583,13.3750000000001,8.19999,47.37583,108.5,8.19999,47.37583,18.95,8.19999,47.37583,20.15,1.19999999999999,0.2049
97,"Impatiens noli-tangere",47.37583,8.19999,2023-06-29,"gbif","8.19999_47.37583","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",541,8.19999,47.37583,13.3750000000001,8.19999,47.37583,108.5,8.19999,47.37583,18.85,8.19999,47.37583,20.15,1.30000000000001,0.2049
97,"Impatiens noli-tangere",47.37583,8.19999,2023-06-29,"gbif","8.19999_47.37583","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",541,8.19999,47.37583,13.3750000000001,8.19999,47.37583,108.5,8.19999,47.37583,19.45,8.19999,47.37583,20.15,0.699999999999989,0.2049
97,"Impatiens glandulifera",47.43942,9.15756,2025-04-23,"gbif","9.15756_47.43942","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",532,9.15756,47.43942,12.7333333333333,9.15756,47.43942,113.666666666667,9.15756,47.43942,18.95,9.15756,47.43942,19.95,1,0.2845
97,"Impatiens glandulifera",47.43942,9.15756,2025-04-23,"gbif","9.15756_47.43942","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",532,9.15756,47.43942,12.7333333333333,9.15756,47.43942,113.666666666667,9.15756,47.43942,19.2500000000001,9.15756,47.43942,19.95,0.699999999999989,0.2845
